id,verb,object,detail
107,encrypt,communication channel,http
107,encrypt,intelligently scan compressed file,threat
107,find,other product,eset s smart optimization feature
108,save,time,firewall rule
108,observe,how end,user
108,observe,the network,advanced firewall mode
108,offer,power user pair,customized firewall profile
108,customize,trusted network zone,appropriate firewall rule
108,base,detected network presence,NA
109,identify,trusted network zone,network configuration
109,trust,a configurable combination,host dns dhcp server ip address wireless ssid connection profile
109,use,eset authentication server,NA
110,eset,smart security,care
110,take,annoying spam,a smaller faster and even more effective spam filter
111,enter,your pc,removable medium
111,enter,such a usb thumb drive,self running medium eset
111,run,smart security scan autorun inf,associated file
111,insert,addition,any file
111,scan,any removable device,a full scan
112,eset,sysinspector,eset sysrescue simplify diagnosing
112,eset,cleaning,infected system
112,allow,deep scan,system process
112,find,hidden threat,bootable rescue cd dvd or usb drive
112,repair,an infected computer,NA
113,eset,smart security,technology
113,prevent,malicious software,your system
114,detect,unsafe and potentially dangerous website,NA
115,block,email,infected attachment
115,phishe,website,NA
116,protect,your online banking activity,fraudulent website
116,protect,malicious program,financial information
116,provide,a safe desktop session,your financial transaction
116,provide,portal shopping,other e commerce website
116,hide,hacker,NA
117,run,your internet browser,a secure virtual environment
117,act,a shield,your pc s operating system
117,download,this environment,your real pc
118,come,enhanced configurability,NA
119,firewall,block external threat,your computer
119,reach,the internet,threat
119,arise,network,your system
119,configure,protection,incoming and outgoing internet traffic
119,configure,our enhanced firewall,a firewall profile
119,set,network connection,such a home work
119,restrict,stealth mode,an added benefit
119,hide,your pc,the prying eye
119,hide,hacker,NA
120,assure,complete security,your pc
120,assure,a deep system,a combination
120,scan,feature,antivirus antispyware
120,give,the best antivirus protection,NA
121,offer,more protection,your pc
121,offer,spyware adware keyloggers riskware,other malicious program
122,prevent,program,keyloggers
122,type,your keyboard,online banking
122,do,shopping,the internet
123,folder,lesser time,too much system resource
124,quick,heal dnascan technology detects,unknown threat
124,block,a combination,behavioral and characteristic inspection
125,have,security vulnerability,weakness
125,leave,these vulnerability,hacker
125,hijack,your computer,your data vulnerability
125,hijack,scan,such weakness
125,detect,the feature,vulnerability
126,steal,your confidential information,spyware
126,instal,keyloggers,your machine
126,steal,software,your keyboard
126,send,the information,the attacker
126,use,the virtual keyboard,any information
126,type,this keyboard,any malicious software
127,delete,sensitive data,their recovery
127,prevent,any recovery tool,complete security
127,ensure,confidentiality,your valuable data
128,stay,infected usb,this feature
128,connect,your pc,autorun infection
129,stop,unauthorized user,the system
129,run,safe mode,NA
130,protect,quick heal s running process,service
131,affect,the security level,your system
132,set,a single computer,other computer
132,import,case,reinstallations
133,automatic,product downloads,installation
134,insight,optimized file copy,safe file
135,defrag,common problem,your computer
135,rob,speed,power
136,startup,manager,pc memory
137,protect,your kid,online danger
138,anti,phishing technology block fraudulent phishing site,NA
139,scam,insight review,NA
140,remove,any other threat,malware
140,malware,your computer essential anti virus,real time protection
140,offer,your pc,NA
141,include,a bidirectional firewall,your wi fi network
141,protect,intrusion,unwanted connection
141,chat,share photo,video
141,read,your favorite blog,the web
141,surf,complete peace,mind
142,protect,online fraud identity theft phishing attack,other criminal activity
143,turn,your computer,unlimited usage share
143,turn,friend,family
145,remove,malware virus,rootkit s fakeav worm
146,quarantine,module,the detected file
147,include,norman patented norman sandbox technology,NA
148,support,quick and deep scan mode,NA
150,remove,virus worm,trojan
150,protect,your file,email attachment and internet downloads
151,block,spyware,your pc
151,protect,your privacy,their activity
151,block,identity theft,NA
152,power,agnitum outpost lock hacker,thief
152,deliver,total protection,known and unknown internal and external network based attack
153,scan,engine,registry file
153,lighten,speed,clean spyware adwares
153,rogueware,dialers,other potential threat
153,rogueware,your system,NA
154,do,deep system,running process registry and file system
154,run,any suspicious rootkit activity,the system
155,stop,malware,dangerous downloads
155,avoid,fake website,personal file
155,secure,advanced ransomware protection,NA
156,prevent,voyeur,your webcam
156,hide,private photo,file
156,hide,snoop,sensitive data
157,install,avg internet security,unlimited personal pc tablet
157,install,smartphones,your family
158,block,virus,other malware
159,scan,web twitter facebook link,NA
160,protect,harmful downloads,NA
161,encrypt,password,private file
162,phone,chat agent,hand
163,keep,your inbox,spam scam
164,shop,bank,enhanced firewall
166,rate,the safety,all site
166,rate,your search result,NA
167,scan,shared folder,NA
168,intercept,malicious website,NA
169,shut,online spy,annoying adware
170,stop,company,your web activity
171,detect,all kind,nasty threat
171,detect,virus,ransomware and phishing attack
172,act,innocent avast analyzes app behavior,real time
172,catch,any suspicious change,damage
173,download,a file,a shady server
173,s,trouble tet file,a sealed space
173,keep,the rest,your pc
174,rid,mystery toolbars,ons
174,add,extension,noticing
174,instal,your permission,NA
175,play,antivirus,the background
175,need,our other advanced feature,NA
176,personal,real time threat detection,unknown file
176,send,the avast threat lab,our expert
178,block,threat,your home network
179,s,jut one and avat paword,care
179,take,the rest,NA
180,connect,a fake site,hacker
180,steal,your banking detail,securedns
180,keep,your online banking,NA
181,browse,bank,shop
181,browse,a suite,tool
181,provide,extra protection discover,safezone
181,provide,the world s most secure browser,NA
182,put,your window,other notification
182,put,hold,maximum processing power
182,get,speed,your game
183,protect,emerging threat,NA
184,block,hidden application,legitimate software
185,share,your network,NA
186,surf,shop stream download,NA
187,suspend,unnecessary notification,game
187,suspend,movie,NA
188,close,to zero impact,the system
189,scan,your system,NA
190,manage,protection,all device
190,manage,your household,your device
190,update,your product,vulnerability
190,check,one single place,NA
191,protect,your file family album,important document
191,hold,ransom,NA
192,build,the window filtering platform,an advanced system
192,offer,app rule,greater performance
192,focus,stability,window
193,sync,your data,device
193,sync,automatic logins,any pc
194,make,online transaction,a unique dedicated browser
194,secure,your account,fraud safepay
194,fill,credit card detail,billing field
195,lock,wipe,your laptop
195,locate,any internet connected device,hand
196,block,inappropriate content,web access
196,monitor,your child s online activity,facebook
197,antiphishe,analyzes and block website,various scam or credit card phishing attempt anti spam
197,stop,unwanted email,your inbox support server
197,base,cloud technology,NA
198,ensure,no trace,your deleted sensitive file
198,remain,your pc,confidential file
198,lock,an encrypted vault,NA
199,oneclick,optimizer speed,your system
199,free,disk space,every known optimization
199,know,one click startup optimizer minimizes,the system s boot time
199,delay,the program,startup
200,warn,outdated and vulnerable software missing window security patch,potentially unsafe system
201,display,your overall security status,the past week
201,display,the total issue,bitdefender
201,fix,installation,space optimized apps
201,optimize,remaining available storage,NA
202,innovative,exclusive technology,speed
202,improve,performance,a matter
202,adapt,each pc,NA
203,provide,a hassle free experience,optimal security related decision
203,relate,no input,no pop ups
203,mean,no alert nothing,configure
203,work,play,movie
203,watch,the notebook,battery
203,prevent,apps,NA
204,threat,such a rootkits,the window operating system
204,remove,the computer,rescue mode
204,reboot,a trusted environment,cleanup
204,use,restoration,NA
205,monitor,the process behavior,real time
205,monitor,suspicious activity,NA
206,keep,track,your security
206,keep,related task,file
206,drop,quick scanning,virus
207,track,virtually every file,the internet
208,defrag,common problem,your computer
208,rob,speed,power
209,startup,manager,pc memory
209,free,fine tune,your computer
210,remove,unnecessary file,storage space
210,improve,hard drive speed,reliability
211,tell,a website,NA
212,protect,your kid,online danger
212,give,direct access,norton family
213,scam,insight review,a website s reputation
213,enter,your personal information,NA
214,avg,search shield place safety rating,each link
214,search,your  result,which site
214,trust,avg surf shield check web page,real time
214,identify,malicious website,NA
215,check,link,facebook
215,exchange,myspace,real time
216,download,share file,risk
216,exchange,online chat,NA
217,help,any problem,NA
218,avg,core layer,protection
218,spread,even the toughest threat,NA
219,hassle,free protection,the background
219,play,game,movie
220,avg,smart scanning work,low priority mode
221,anvi,smart defender detects,the latest and most malicious threat attack
221,integrate,multiple guard privacy guard,startup
221,startup,guard process guard behavior guard file guard,malware
221,surf,shopping charting socializing sharing,banking
221,chart,overall guard,your pc
221,protect,traditional security software,NA
222,anvi,smart defender,latest malware
222,detect,a fast light,your working
222,run,background,NA
223,anvi,smart defender,creative cloud computing technology
223,give,your pc,more protection
223,give,the suspicious file,a smart way
223,get,the cloud security report,the newest threat
223,discover,the first time,NA
224,protect,your pc,malware anvi smart defender
224,optimize,your computer,several aspect system optimize registry fix privacy cleaner memory sweep
224,optimize,disk,NA
225,attack,your pc,your network
225,scan,potential security issue,attack
225,prevent,your router,network
226,isolate,your banking,an extra secure place
226,isolate,bank,bill
226,pay,online pair,secureline vpn
226,protect,your privacy,identity
227,use,our secure personal firewall,your operating system software
227,shield,hardware,hacker
228,know,which email,spam
228,take,a phishing attack,NA
229,get,email support,phone support
229,pay,an even faster response,NA
230,protect,your router,dns hijacking
230,redirect,a password harvesting website,NA
231,have,the ability,apps
231,run,open file,NA
232,ensure,the safety,your data
232,block,ransomware,other dangerous apps
233,absolute,power,the most efficient antivirus
233,absolute,bitdefender antivirus,work
233,trojan,exploit rootkits,your data
233,spyware,your privacy,good hand
234,use,an innovative technique,behavioral detection
234,monitor,your active apps,bitdefender antivirus
234,take,instant action,NA
235,place,sensitive document,special protection
235,place,malicious encryption program,ransom
235,demand,your personal file,NA
236,remove,window start,bitdefender antivirus
236,reboot,the computer,rescue mode
236,reboot,cleanup,restoration
237,bitdefender,antivirus,sniff
237,bitdefender,block,website
237,masquerade,a trustworthy,order
237,steal,financial data,such a password or credit card number
238,visit,website,such a casino porn site money loan scheme
239,find,your search result,access
239,click,a link bitdefender antivirus,known infected link
240,switch,autopilot,your entire cyber security
240,make,optimal security decision,your input
240,ask,nagging pop ups,dialog box nothing
241,help,bitdefender antivirus,the hardware and software configuration
241,adapt,your system,resource
241,improve,speed,performance
242,take,place,the cloud
242,be,virtually zero impact,your local resource
242,mean,your system s speed,performance
242,remain,your file,data signature
242,scan,not the actual content,NA
243,bitdefender,antivirus,detects
243,play,work,a movie
243,bother,unnecessary request,your computer bitdefender
243,halt,pop ups,visual setting
243,adjust,unimportant background activity,your device
243,enjoy,the max,NA
244,save,battery life,laptop
244,tablet,temporarily tweaking system,such a display system
244,cool,system update,bluetooth connectivity
245,shop,a unique dedicated browser,your transaction
245,prevent,fraud bitdefender safepay,credit card detail
245,fill,billing field,NA
246,stay,malicious link,any threat
246,pas,other social network,NA
247,store,your password credit card information,other sensitive data
247,store,a secure vault,easy access
247,need,password manager,the option
247,autofill,online form,secure password
248,use,this tool,a file
248,delete,good,no trace
248,exist,your pc,NA
249,s,pure freedom,all your cyber security
249,run,hassle,pop ups dialog box
249,focus,your work,fun
250,state,the art protection,the world leader
251,secure,your virtual infrastructure,NA
252,integrated,antivirus,antispyware
252,integrate,firewall and intrusion prevention,a device control
253,powerful,central management,security
253,powerful,physical and virtual endpoint,NA
254,enable,instant upgrade,self enforced network access control
254,enforce,additional software deployment,NA
255,seamless,migration,previous version
255,seamless,symantec endpoint protection,NA
256,expect,the wild virus,NA
257,certify,the product,the test
257,take,virus bulletin magazine,multiple award
258,avast,server edition,large cluster and terminal server
258,contain,direct support,cluster setup
258,include,a special wizard,the installation
259,set,terminal environment,another wizard
259,guide,the reconfiguration,avast system
259,look,the terminal user,workstation
260,limit,the terminal service,microsoft
261,avast,server edition,all edition
261,test,window server,window storage server and window datacenter server
261,take,advantage,multiple cpu
261,take,stress,machine
261,test,a large number,processor
261,verify,exceptional robustness,scalability
262,ensure,compatibility,advanced server component
262,ensure,such a the v volume shadow copy,fr file replication service
262,guarantee,your server,all circumstance
263,avast,server edition work,ia
263,avast,amd based machine,the very few av solution
263,cover,this fast emerging platform,more and more importance
263,gain,the upcoming year,NA
264,resident,protection,the real time protection
264,resident,the computer,the most important part
264,avast,a powerful resident module,the virus
264,detect,any chance,your computer
265,ensure,no virus,startup
265,upload,the default setting,the resident protection
265,accommodate,the server environment,thorough scanning
265,adjust,the setting,your requirement
265,scan,the copied file,given set
265,give,extension,NA
266,call,silent mode,operation
266,display,virus,a server system
266,work,a request,an infected file
266,come,a network,an automatic action
266,display,the other hand,the request
266,come,a local or terminal session,the usual interactive mode
266,use,desktop antivirus,NA
267,optimize,speed,heavy load
267,utilize,the possibility,today s powerful server
267,utilize,such a multiple cpu,the scanning
268,use,terminal server avast server edition,additional resident module
268,contain,e mail protection outlook exchange internet mail,browser protection script blocker
269,contain,both the user environment,server usage
269,enhance,the  user interface,the terminal server
269,give,access,all the setting
269,configure,extensive scanning,NA
270,call,antivirus task,the task
270,call,virus,the common parameter
270,run,these task,every task
270,generate,some result,course
270,work,these result,resident protection
271,connect,task,the scheduler
271,schedule,the start,a particular task
272,make,work,easier server edition
272,contain,a special notification manager,notification object
272,associate,antivirus task,demand
272,use,the case,a virus
273,support,a number,notification object
273,support,such a sending e mail message,smtp or mapi outlook sm notification
273,use,the window popup mechanism network message,the message
273,print,a network printer snmp trap,message
273,use,msn window messenger,NA
274,update,the update,incremental and only new data
274,reduce,the transfer time,the typical size
274,reduce,a virus database update,the program update
275,perform,fixed time interval,the internet
275,avast,your connection,NA
276,instal,a new version,available downloads
276,initialize,our server,your computer
276,perform,the necessary update,the system
276,base,the smtp protocol,the update
276,control,the avast resident e mail provider,outlook and internet mail
277,protect,asymmetric cipher,unauthorized misuse
278,think,a a quarantine area,your disk
278,have,special property,certain file
278,work,the file,security restriction
280,scan,the case,suspect
280,perform,the start,the operating system
280,take,action,NA
281,experience,user,another server edition feature
281,like,the command line scanner,the scanning
281,control,many argument,a a pipe filter
281,use,a special stdin stdout mode,NA
282,use,batch program,the output
282,include,the report file,NA
283,complete,defense,virus spyware adware
283,complete,puas,the widest range
283,certify,spyware detection,NA
284,set,demand,failsafe updating
284,ensure,remote laptop user,NA
285,disinfect,a single operation unwanted registry entry running process,disk
286,identify,malicious code,execution
286,give,the benefit,a host intrusion prevention system hip
287,perform,access,demand
287,mean,only those file,NA
288,absolute,power,the most efficient antivirus
288,absolute,bitdefender internet security work,all threat
288,trojan,exploit rootkits,your data
288,spyware,your privacy,good hand
289,use,an innovative technique,behavioral detection
289,monitor,your active apps,bitdefender internet security
289,take,instant action,NA
290,place,sensitive document,special protection
290,place,malicious encryption program,ransom
290,demand,your personal file,NA
291,remove,window start,bitdefender
291,reboot,the computer,rescue mode
291,reboot,cleanup,restoration
292,bitdefender,sniff,block website
292,masquerade,a trustworthy,order
292,steal,financial data,such a password or credit card number
293,visit,website,such a casino porn site money loan scheme
294,find,your search result,access
294,click,a link bitdefender,known infected link
295,switch,autopilot,your entire cyber security
295,make,optimal security decision,your input
295,ask,nagging pop ups,dialog box nothing
296,bitdefender,internet security,the hardware and software configuration
296,adapt,your system,resource
296,improve,speed,performance
297,take,place,the cloud
297,be,virtually zero impact,your local resource
297,mean,your system s speed,performance
297,remain,your file,data signature
297,scan,not the actual content,NA
298,bitdefender,internet security detects,work
298,watch,a movie,unnecessary request
298,do,your computer bitdefender internet security,pop ups
298,halt,visual setting,unimportant background activity
298,enjoy,your device,the max
299,save,battery life,laptop
299,tablet,temporarily tweaking system,such a display system
299,cool,system update,bluetooth connectivity
300,shop,a unique dedicated browser,your transaction
300,prevent,fraud bitdefender safepay,credit card detail
300,fill,billing field,NA
301,supervise,your child s online activity,NA
302,get,an extra layer,protection
302,get,your personal information,hacker and data snoop
303,store,your password credit card information,other sensitive data
303,store,a secure vault,easy access
303,need,password manager,the option
303,autofill,online form,secure password
304,use,this tool,a file
304,delete,good,no trace
304,exist,your pc,NA
305,s,pure freedom,all your cyber security
305,run,hassle,pop ups dialog box
305,focus,your work,fun
306,scan,security hole,vulnerability
306,check,your pc,outdated and vulnerable software missing window security patch
306,miss,potentially unsafe system setting,the best fix
307,scan,compressed file zip,NA
309,depend,your computer spesification,NA
311,log,restart shutdown,computer menu
313,set,registered organization,owner registry value
314,get,document,malware
314,get,backdoor,delf
315,trojan,delf aav worm,delf cd worm
315,trojan,delf,NA
316,get,application,malware
316,get,deulledo,delf
317,set,showhidden and superhidden registry value,NA
318,get,image,malware
318,get,montoxbro,video
319,check,file s,s
319,contain,image,document
320,check,clean zero file s size optional,NA
321,improve,technology,quality
322,check,registry autorun,hklm
322,run,hklm once hkcu,hkcu runonce
323,effective,protection,malicious program
324,scan,all file,furthermore suspicious file
324,modify,content,a quarantine area
324,undergo,further analysis,NA
325,scan,the application,area
325,specify,the file system,a schedule
325,accord,the system administrator,NA
326,scan,critical system area,the application
326,scan,those area,the operating system
326,scan,infection,a a separate task
326,prevent,malicious code,system startup
326,detect,hidden process,the most susceptible area
326,object,ram,NA
327,help,the system administrator,a scan
327,update,the antivirus database,an increased level
327,increase,security,NA
328,isolate,infected computer,a workstation
328,infect,the network,the user
328,block,accessing server resource,a certain amount
328,identify,the source,infection
328,treat,the infection,NA
329,scalability,multiprocessor server system administrator,the number
329,define,copy,the antivirus engine
329,run,order,the processing
329,accelerate,server request,NA
330,balance,the application,administrator
330,regulate,the allocation,server resource
330,regulate,the antivirus solution,other application
330,depend,task priority level antivirus,scan
330,continue,background mode,NA
331,scan,the iswift and ichecker technology,window server enterprise edition
331,make,the program,a complete scan
331,perform,the system,demand
331,check,new and or modified file,NA
332,centralize,installation,control kaspersky administration
332,centralize,a  administration tool,application
332,install,change,several server
332,control,the application,NA
333,manage,the microsoft management console,remote administration kaspersky administration kit
333,use,the command line,NA
334,update,updating antivirus database,demand
334,base,a schedule,kaspersky lab server
334,select,the least loaded update server,NA
335,flexible,time,virus
335,set,order,the use
335,optimize,server resource,the convenience
335,maximize,user,the system administrator
335,assign,the exact time,demand
335,scan,corporate server,night
335,overload,the weekend,NA
336,report,the system administrator,the application
336,review,the microsoft window,kaspersky administration kit event
336,log,the reporting system,a search function
336,feature,a filter,the information
336,need,large log,NA
337,information,the application s status,the application
337,come,an extensive list,event
337,notify,netsendor,email
339,manage,the kaspersky anti virus,window server enterprise edition
339,manage,kaspersky administration kit,NA
340,rise,cloud security,high intelligence performance
340,base,strong technique support,rising cloud security data center
340,rise,asia,the most efficient rising antivirus virtual machine technique
340,rise,a  virtual engine technique,the most excellent platform
340,focus,intelligent data collection automatic data analysis,professional security solution
340,provide,internet threat behavior,malicious attack
340,set,computer security defense,traditional computer security defense
341,base,triple layer security defense structure,rising cloud security
341,rise,integrated traditional monitor,intelligent active defense function
342,intercept,trojan backdoor worm,other malicious virus program
342,open,a file,NA
343,inbound,trojan backdoor worm,other malicious virus program
344,intercept,unknown trojan backdoor worm,other malicious virus program
344,computer,usb port,NA
345,adopt,rising dynamic behavior analysis technique,window operating system kernel
345,intercept,unknown trojan backdoor worm,other malicious virus program
345,intercept,real time,NA
346,take,rising system kernel reinforce,web browser program
346,intercept,unknown trojan backdoor worm,other malicious virus
346,intercept,real time,NA
347,intercept,unknown trojan backdoor worm,other malicious virus program
347,prevent,malicious attack,office software unknown vulnerability
347,exploit,office software,NA
348,provide,professional computer user,two optional customizable method
348,provide,a template,custom
348,detect,monitor,all malicious behavior
348,intercept,virus program,window system kernel
349,destroy,any existing malware,a pc
350,detect,spyware threat,each infection
351,scan,detects,rootkits
351,remove,your computer,NA
352,prevent,malicious software,your pc
352,turn,a zombie,NA
353,protect,critical system file,malware
354,run,unknown file,an isolated environment
354,cause,no damage,NA
355,cut,edge protection,sophisticated buffer overflow attack
356,kill,malicious process,NA
357,set,each cracklock controlled software,NA
358,translate,many language,NA
359,contextual,help,any time
360,defend,your system,virus worm spyware bot trojan buffer overflow
360,defend,blended attack,a broad range
360,block,malicious code,even those
360,hide,compressed file,combined anti virus firewall and intrusion prevention technology mcafee s industry leading security
360,safeguard,spam phishing attack malicious website,other threat
360,evade,standard anti virus and url filtering system,NA
361,close,the protection gap,mcafee global threat intelligence gti gti
361,offer,comprehensive real time protection,both known and emerging threat
361,emerge,all key threat vector file web email,network
361,use,reputation based threat protection,addition
361,base,other technique mcafee gti,real world data
361,collect,sensor,intelligence
361,deliver,a complete suite,mcafee security product
362,detect,clean virus,microsoft outlook
362,include,html text,attachment
363,let,your anti malware software,end user virusscan enterprise
363,scan,us le memory,fewer cpu cycle
363,protect,any other anti malware product,the market
364,limit,the risk,impact
364,limit,an outbreak,close port monitor application
364,occur,email engine,block file
364,block,directory,dat file
365,defend,your desktop laptop and file server,disruption malware
365,defend,hacker,mcafee virusscan enterprise
366,guard,buffer overflow,vulnerability
366,aim,microsoft window operating system service microsoft word,microsoft
366,protect,ii service winzip,microsoft office access microsoft office visio microsoft window medium player
366,powerpoint,microsoft messenger,NA
367,manage,virusscan enterprise,one central mcafee epolicy orchestrator epo console
367,get,detailed enterprise level,NA
369,advanced,heuristic analysis,new and yet unknown virus
370,program,code analysis feature,detection
370,program,sophisticated and hidden malicious code,NA
372,build,cure utility,safe disinfection
374,file,quarantine capability,suspected file
375,system,information utility,analysis tool
375,system,extensive  check,NA
376,update,utility,the program
377,archive,scan zip rar,cab
378,scan,ability,NA
379,information,detected trojan horse virus,NA
380,work,parallel,any known anti virus software
380,know,better protection,NA
382,extensive,malware recognition,virus trojan backdoor program worm
382,detect,adware spyware double extension file,unusual runtime compression tool
383,solid,antivirus technology,multi platform certified scan engine
384,low,usage,computer resource
385,allow,remote configuration,the server admin
385,assist,s work,network user
386,professional,service,the avira license
386,virus,definition update,product
386,upgrade,access,documentation
386,upgrade,a standard technical support,a team
387,avira,resident service,the background
387,run,all file operation,the user
387,perform,a file operation e g,a program
387,launch,a document,virus
387,scan,unwanted program,NA
388,monitor,the resident service,the possibility
388,manage,several resident service,different server
388,instal,the network,NA
389,configuration,assistant,easy and fast basic configuration
389,configuration,the installation,NA
390,trojan,backdoor,stranger
390,provide,access,your pc
390,instal,an attacker,full control
390,take,your computer,a trojan
390,describe,a a piece,software
390,arrive,a email attachment,a keylogger
390,arrive,a type,malware
390,record,all keyboard activity,a squared free specializes
390,eliminate,these type,NA
391,worm,virus,the most irritating phenomenon
391,worm,the internet,a dangerous email attachment worm
391,send,copy,all reachable destination
391,cause,great damage newer network worm bot,security hole
391,infect,a pc,an astonishing speed
391,reproduce,your knowledge,your pc
391,transform,a spam,zombie
391,send,a squared free eliminates worm,any further damage
392,change,the internet access number,a modem equipped computer
392,equip,a much more expensive number cost,a high
392,rise,a several hundred dollar,dial
