id,verb,object,detail
128,inspect,a huge number,property
128,inspect,any element,that structure
128,include,javascript object,cs style
129,javascript,debugger venkman,javascript code
129,debug,your website,ons
129,add,seamonkey,a suite
131,incognito,mode stop cooky,privacy
132,switch,your browser,the dragon
133,use,your own bookmark collection,different computer
133,use,different browser cometbirds,this trouble cometbird bookmark synchronizer
133,make,all your bookmark,NA
134,download,any video audio flash,your computer
134,click,the video,the selected file
134,select,your local disk,NA
135,open,new page,a new tab
135,open,new widow,your computer memory and disk space
136,pop,blocker,private data anti malware
136,set,all these technique,a safe and secure browsering environment
137,mouse,pointer,non touch screen device
138,security,the user,the site
140,text,input password input manager native integration,NA
142,set,the stage,immersive and rich experience
143,re,the browser,the new tab page
143,provide,meaningful suggestion,information
144,notification,internet explorer,dialog box
144,get,your way,all notification message
144,consolidate,the notification bar,the bottom
144,locate,the browser frame,NA
145,get,your favorite site,the window taskbar
145,open,internet explorer,NA
146,tear,tab,multiple site
146,rearrange,internet explorer,icon
146,rearrange,the taskbar,window
146,open,any tab,a new browser window
146,drag,that tab,your desktop
147,use,the navigational control,internet explorer
147,simplify,the back button,the address bar
147,simplify,search box,one new address bar
147,combine,the multiple menu,previous version
147,consolidate,a single menu,NA
148,cross,site scripting attack,a leading online threat
148,lead,their aim,vulnerability
148,exploit,the website,legitimate website
148,compromise,malicious content,your login information
148,record,password,your personal data
149,avoid,deceptive website,the address
149,know,the website,domain highlighting internet explorer
149,see,the true web address,a glance
149,highlight,the domain name,the address bar
149,identify,the site,NA
150,build,clang cl,window
151,run,every add,NA
152,see,tab,browser window
152,get,the window,a snap
152,keep,your internet experience,a demo
152,watch,tabbed browsing,NA
153,aol,your favorite website link,a portable favorite folder
153,tap,your favorite site,any machine
153,use,your aol,screen name
154,customize,the look,your browser
154,try,the midnight theme,bubble gum
154,choose,our sixteen theme,NA
155,take,the side panel,aol explorer
155,put,your desktop,your feed panel journal panel
155,have,your fingertip,the latest breaking event blog
155,close,general information,NA
156,open,one or more local file,url
156,open,all installed version,mozilla firefox
157,appear,the context menu,window explorer
157,open,every installed version,mozilla firefox
158,display,the version number,mozilla firefox
158,display,the titlebar,NA
159,include,a number,window resizing option
159,include,the web developer,all common resolution
160,instal,all user,NA
161,create,an unattended installation,all function
161,use,command line parameter,NA
162,work,the most restricted user account,installation
162,do,administrator privilege,NA
163,cached,search,faster experience
163,cached,bypass cache option,NA
164,save,all viewed video,NA
165,display,video title,description
166,auto,launch vlc,video
167,want,different thing vivaldi web browser,your way
167,adapt,not the other way,NA
168,are,a keyboard person,vivaldi
168,set,one single keyboard,quick command menu
168,create,your own command,NA
169,let,the mess,vivaldi
169,clean,your tab,a feature
169,fall,love,NA
170,take,note,screen shot
170,add,web page,store attachment
171,make,vivaldi,modern web technology
171,use,javascript,the user interface
171,create,the help,node j
172,adapt,the web,a chameleon adapts
172,surrounding,a clean and modern look,the content facebook
172,turn,vivaldi blue,the verge
173,say,goodbye,web page content
173,move,every axis,the arrow key
173,use,the web page,your keyboard
174,have,your browser,bookmark
174,come,the right place,NA
175,view,website,a a panel
175,view,the sidebar,your vivaldi browser
175,read,news follow conversation,social medium chat
175,read,your friend,the main browser window
176,lunascape,the first browser,the world
176,contain,both internet explorer and gecko firefox engine,ie
176,support,toolbars plug,extension
176,be,more universal lunascape,NA
177,subscribe,a r feed,your favorite bookmark
177,drop,lunascape,the last news
178,look,an electrical bulletin board r ticker display news,another drag drop
178,register,new r,NA
179,infoview,mode,efficiency
179,increase,r news,blog
179,read,don t,the site
179,get,information,NA
180,customize,variety,plug
181,lunascape,the first browser,multiple sidebar plug
181,support,add ons,internet explorer
181,lunascape,function,plugins
181,toolbar,people,us gecko engine
181,support,firefox netscape,mozilla extension
182,contain,a setting bar,the tool
182,make,easier the management,favorite design switching
182,add,your own setting,drag dropping item
182,add,the setting tree,NA
183,contain,various search engine,the beginning
183,perform,a web search,NA
184,type,desired keyword,the search bar
184,choose,your search engine,NA
185,lunascape,high quality skin,a new skin
185,instal,only the appearence,the browser
185,change,speed,NA
186,turn,image video script,java activex
186,experiment,all those security setting,setup
187,think,internet explorer favorite,lunascape
187,evaluate,the browser,the most useful favorite organizing system
187,have,each favorite,a security level
187,add,comment,color
188,auto,sorting,use frequencyfavorites
188,display,the list,NA
189,open,the corresponding page news blog,your favorite
189,update,real time,a r feed title
189,update,r podcasts,NA
190,block,popup ad,your web
190,browse,course,some site
190,display,popups,their url
191,choose,block popup,security menu
192,have,hard time,your id
192,remember,password,roboform toolbar
192,use,don t,id
192,type,the system,just one click
193,install,roboform,extension
193,install,tool bar menu,NA
194,provide,a very useful function,proxy
194,add,drag,your setting tree
194,set,bar,the proxy
195,raise,efficiency,web surfing
196,mouse,gesture,a technology
196,drive,lunascape command,your mouse
196,surf,the web,the right button
196,click,the right,the following direction
196,leave,a combination,these direction
196,release,a command,the combination
197,design,user expectation sleipnir,the same level
197,maintain,high performance,NA
198,use,sleipnir,the same high level
198,maintain,performance,window
198,develop,mind,NA
199,want,customization,sleipnir
199,customize,almost any aspect,the browser
199,customize,even beginner,a customized web browsing experience
199,browse,minimal effort,NA
200,expect,their browser,tabbed browsing
200,support,sleipnir,the ground
200,provide,the ultimate tabbed browsing experience,advanced window view
200,browse,thumbnail functionality sleipnir,a breeze
201,design,optimal viewing,internet explorer
201,sleipnir,the same trident rendering engine,a internet explorer
201,display,any web page,NA
202,build,the latest mozilla,firefox
203,warn,if you,NA
204,visit,a website,host virus
205,get,protection,over million malicious site
206,personalize,epic epic,the first browser
206,offer,full screen wallpaper image,NA
207,click,any text box start,indian language type
207,type,the word,english
207,convert,the indic language,NA
208,live,cricket score top album news,leading source
208,lead,language news event,even a daily joke
209,watch,different live tv station,tv show
209,watch,channel,film
210,choose,radio station,music genre
210,get,desktop alert,each new song
211,don,your browser,NA
212,create,quick note,document
212,create,english indian,NA
213,language,our light weight,NA
214,miss,a beat,instant desktop alert
216,listen,the music,film
217,use,the keyboard,webgoo
217,use,screen easy keyboard,NA
218,browse,your internet,your phone call
218,make,the same time,NA
219,search,more site,NA
220,type,a word,the address bar
220,type,press space,http www
220,add,com,both side
221,type,the friendly name,a favorite page
221,type,the address bar,the page name
221,select,the autocomplete list,NA
222,display,the link,a handy place
222,keep,your favorite web site,toolbars
222,display,link,NA
223,print,the current page,active frame
224,automatic,add edit,NA
225,send,mail,auto detection
225,have,online offline status,NA
226,dialup,current connection disconnect,current connection
227,watch,the time,webtime clock
228,edit,place,feature
228,feature,web document,NA
229,send,sm,webgoo
230,search,file image text,video
230,search,file,computer
231,html,editor and design websitephp editor,NA
232,maxthon,browser s powerful tabbed interface,the best browsing experience
232,take,your taskbar space,all the web page
232,arrange,maxthon browser s main window multiple web page,tab
232,indicate,easy navigation,NA
233,command,your browser,your mouse mouse gesture
233,command,another revolutionary invention,the browser
233,command,maxthon,some people
233,play,kongfu,their mouse
234,maxthon,browser,another revolutionary technology
234,browse,the super drag drop,super drag drop
234,open,new link,the link
234,drop,the page,drop
234,search,selected word,the default search engine
234,open,a link,new tab
234,save,the selected content,ctrl
235,maxthon,browser,a customizable favorite bar
235,provide,better access,your link
235,favorite,other folder,a folder
235,have,the option,the favorite side bar
235,start,even more option,the right click menu
236,popup,ad flash ad floating ad image ad,all these annoying ad
236,get,the solution ad hunter ad hunter,several neat function
236,block,all kind,ad
236,use,the auto filter,popup ad
236,block,a filter list,more accurate and customized blocking
237,use,third party browser,even google
237,say,fact,maxthon browser
237,support,a lot,other ie plugins
237,support,toolbars,flashget bar
238,start,other program,the utility bar
238,launch,a single click,NA
239,care,your privacy,maxthon browser
239,erase,all your browsing information,your private information
239,clear,such a the browsing history cooky cache,a single click
240,maxthon,browser support flexible skin,the look
240,change,the browser window,skin
240,change,the icon color,background
240,enable,window native skinning,the skin site
240,find,how beautiful maxthon browser,NA
241,enhance,the functionality,maxthon browser
241,enhance,plugins,the ie plugins
241,own,even more powerful sidebar,toolbar plugins
241,visit,the plugins site,even more feature
242,maxthon,browser,ie maxthon browser us
242,have,very few resource,an average
242,ram,usage compare,ie
242,have,the same large number,page
243,online,your favorite content,maxthon online favorite service
243,protect,your privacy,a shared computer
244,browse,all the web page,a tab
244,arrange,main window,your navigation
245,type,the keywords,address bar
245,perform,a search,a keyword
245,drop,your mouse,NA
246,clean,the web page,popup window
246,remove,ad content block,NA
247,customizable,plugins,skin filter pack multi language
248,smarter,the basic password manager,chrome
248,login,data,a form file
248,open,your favorite online account,a single click
249,let,user,the toolbar
249,add,itional button,additional feature
249,access,functionality,NA
250,share,the link,a paragraph
250,visit,text,an image
251,download,any youtube video,local hard disk
251,download,specified resolution and file format,the downloaded video file
252,include,a photo salon,you cano
252,apply,different effect,beautiful frame
252,add,the photo,NA
253,compress,photo,web optimized resolution
253,upload,time,NA
254,display,current weather condition,weather forecast
254,display,the browser window,NA
255,define,short alias,long url
255,type,the alias,the omnibox
255,open,the corresponding page,NA
256,translate,a full web page,the current ui language slimjet
256,translate,a web page,a piece
256,translate,text,any two specified language
257,provide,many additional option,the browser
257,customize,your personal preference,a it
257,take,any choice,NA
258,wap,xhtml mobile profile,wml
259,winwap,mobile transcoding,html
260,start,page load multiple  page,your browser
261,build,pop blocker,annoying pop advertising
261,visit,website,NA
262,mouse,gesture,your mouse
262,move,page,your screen
262,move,different tab,NA
263,build,search engine,type
263,type,a search term,your browser address bar
263,view,relevant search result,NA
264,auto,login store,retrieve website login detail
265,auto,form fill,online form
265,type,your detail,the hassle
266,subscribe,your favorite news feed,the news reader
266,display,the latest news,one screen
267,handle,new web browser window,NA
268,handle,new web browser window,NA
269,import,bookmark htm,netscape
269,import,internet explorer,NA
271,option,docking bookmark window,NA
272,close,the selected browsing data,default
272,go,optionsã privacy dataã privacy,NA
273,make,efficient command,easy mouse gesture
273,make,mouse gesture,quite a lot
273,save,time,NA
274,use,control,the ie tab
274,visit,these page,NA
275,prevent,the display,ad
275,prevent,especially the adblock,coolnovo support
275,make,use,the existing blocking list
276,drop,a block,text
276,drop,the page,a page
276,search,the text,your default search engine
276,drag,the link,picture
276,open,the newtab page,NA
277,include,netants orbit qq xuanfeng,flashgetmini netx webthunder xunlei
279,power,the chromium and trident engine,NA
280,accel,support,NA
282,apps,extension userscripts,addons
283,own,music player,pause
283,stop,the song,NA
284,create,your own playlist,all your music
284,view,own library,NA
286,integrated,program,paint
287,take,the link,NA
288,get,instant information answer,search result
288,get,word,a browser email
288,re,other application,NA
289,come,a fully functional drag,browser
289,drop,such a inline search tab popup blocker,custom search button
290,get,a snapshot,an entire web page
291,custom,search button,any search engine
291,make,any web page,NA
292,focus,search,separate tab
293,bring,the information,any search engine one
293,need,a web site,search engine
294,navigate,a web page,a search field
294,link,any web page,NA
296,press,ctrl,selecting result
296,show,new tab,NA
297,search,the selected word,any application
297,press,ctrl,alt s
300,load,proxy list,NA
301,change,proxy,one single click
302,enable,proxy,single click
303,remove,complicated registration and login process,NA
305,tab,window and session management,NA
306,user,script,user style support
307,extension,such a adblock form history mouse gesture,cookie management
308,base,three rendering engine,NA
309,distribution,option,internet explorer
309,use,a product cd,the local area network lan
309,create,a configuration,only package
309,instal,code,your customer
309,instal,user computer,NA
310,custom,component,house application
310,include,other program,the custom package
310,distribute,your user,computer
311,setup,experience,your license type
311,set,the level,user interaction
311,set,the installation,the microsoft window malicious software removal tool
311,set,the default browser,internet explorer update
312,search,experience,the list
312,customize,search provider,your user
313,customize,your user,support
313,direct,the display,home page
313,populate,favorite link and web feed,toolbar button
314,administrator,approved activex control,the control
314,lock,all others,issue
314,reduce,the approved set,microsoft activex control
314,use,the option,additional setting
314,use,ieak profile manager,NA
315,automatic,configuration,your user internet explorer
315,set,regular interval,the browser
316,build,pop,manager
316,block,unwanted window,friendly window
317,display,your favorite,internet explorer
317,store,the ability,your favorite link
318,want,a quick search,spell checker
319,hide,your second web browser window,any time
320,search,the word,the search box
321,preserve,window taskbar space,refresher
321,minimise,the system tray,NA
322,stop,refresher,a page
323,quick,convenient rapid fire button,your web mail
323,take,ebay,NA
324,choose,the startup window state,NA
325,auto,start,window
326,block,web image content,page
327,refresh,individual window,both window
327,refresh,the same time,NA
328,dual,browser,single browser mode
329,go,the same address,one browser
330,online,your favorite content,maxthon online favorite service
330,protect,your privacy,a shared computer
331,browse,all the web page,a tab
331,arrange,main window,your navigation
332,type,the keywords,address bar
332,perform,a search,a keyword
332,drop,your mouse,NA
333,clean,the web page,popup window
333,remove,ad content block,NA
334,customizable,plugins,skin filter pack multi language
336,block,all popup ad,test website
337,stand,favorite management,NA
338,hide,float ad,middle button
338,hide,mouse,NA
339,design,web page,print
340,drag,the url,real medium or window medium
341,save,image,local disk
342,auto,retry,image
343,access,custom web site,NA
344,stat,batch,NA
345,resume,page,error
346,view,medias,gogo explorer
347,save,web page,a picture
348,generate,pdf file,a terminal
350,build,popup killer,intelligent identification
351,turn,flash animation,NA
352,access,major search engine,quick search bar
353,integration,online translation engine,NA
354,site,group,a collection
354,save,a a group,NA
355,change,the skin,your color preference
356,rock,solid performance,all other browser
357,support,multiple amazon account,NA
358,process,very large amount,NA
359,support,bulk acls assignment edit acls,batch mode
361,support,copy move,amazon account
362,fast,working multithreaded http engine,NA
363,decrease,the number,request
363,save,money,NA
364,change,application style,the fly
364,see,the program,website
364,look,different version,window and unix environment
365,move,navigation bar,bookmark bar
365,move,a mainframe,even undock
365,place,the desktop,NA
366,tabbed,browsing,default user interface
367,turn,private browsing mode,trace
367,browse,even useragent,the web server
368,full,reset feature,all local setting
368,restore,the state,installation
368,run,the machine,NA
369,access,secure site certificate information,certification path
371,need,one file qtweb,usb
371,run,cd dvd,NA
372,run,limited window environment,active boot disk
372,win,bartpe,cd dvd
373,frame,javascript cooky bookmark history password medium content,all essential browser feature
375,autofill,option store,pre populates user name
375,autofill,password,the site
376,support,netscape plugins,adobe flash player quicktime
376,support,mediaplayer,NA
377,online,your favorite content,maxthon online favorite service
377,protect,your privacy,a shared computer
378,browse,all the web page,a tab
378,arrange,main window,your navigation
379,type,the keywords,address bar
379,perform,a search,a keyword
379,drop,your mouse,NA
380,clean,the web page,popup window
380,remove,ad content block,NA
381,customizable,plugins,skin filter pack multi language
382,xml,syntax validation,NA
383,xml,syntax error,NA
384,log,the http traffic,NA
385,direct,access,the http query
386,connect,any number,amazon account
387,copy,file,your account share bucket
387,locate,amazon,other user
388,create,browse,delete bucket copy
388,move,file,amazon
388,move,your local computer,NA
389,set,file access permission automate common task,microsoft powershell
390,generate,external url bitorrent url copy move,background support
390,generate,content type,NA
391,ensure,file,support
391,support,amazon cloudfront service,NA
392,support,cnames,signed url
392,apply,acl list,child object file
392,apply,a bucket,NA
393,object,support,requester pay
394,generate,short url,http chilp
395,support,private content,feature
395,feature,cloudfront streaming distribution,NA
396,support,canned access policy ,amazon
396,versione,cloudfront streaming aws,NA
397,become,an extension,your local storage
397,limit,the classic data storage,your local drive
397,move,file,amazon
398,cloudberry,explorer,large file
398,move,amazon,your local storage
399,enter,a website url,the whole website
400,offline,browsing fix,NA
401,website,backup,a snapshot
401,save,your website,daily weekly
402,email,alert,an email alert
402,get,a website,NA
403,put,your website,cd
403,distribute,usb,drive
403,drive,additional browser software,NA
404,type,an address,www youtube com
404,press,the com button,the www com bit
404,fill,don t,com
405,support,the downloading,activex component
405,support,a security measure,the computer
405,visit,a site,activex browzar
405,download,the activex component,the event
405,use,internet explorer,an activex component
405,use,this activex component,NA
406,base,internet explorer,NA
407,use,the web,our family friend colleague
407,create,browzar,people
407,give,this choice,the need
407,install,software,your convenience
408,choose,black silver and window style colour scheme,NA
409,browzar,all the function,shortcut
409,ctrl,internet explorer,NA
411,load,multiple web page,a single mouse
411,view,a single window,NA
412,navigate,open window,NA
413,access,favorite bookmark,the quick group manager
414,resume,any browsing session remembering,all currently open window
414,reopen,the same order,NA
415,clear,all trace,your internet browsing
415,store,window,your computer
416,gather,image,page
417,download,image,specified site search and download image
417,use,image searching engine,NA
418,streamline,management,your bookmark
419,view,image,your hard drive cd
420,work,list,bookmark
421,create,save,personal comment
421,retrieve,web page,NA
422,avoid,repeat visit,any web page
423,use,the online foreign language translation,any web page
424,browse,an entire domain,NA
426,online,your favorite content,maxthon online favorite service
426,protect,your privacy,a shared computer
427,browse,all the web page,a tab
427,arrange,main window,your navigation
428,type,the keywords,address bar
428,perform,a search,a keyword
428,drop,your mouse,NA
429,clean,the web page,popup window
429,remove,ad content block,NA
430,customizable,plugins,skin filter pack multi language
431,base,the bult,microsoft internet explorer engine
432,enhance,ability,html element
432,access,id name,javascript
433,access,element,array
433,access,the function call,NA
434,ease,use,tabbed browsing
434,don,t accidentaly,a tab browsing speed
434,say,jack,a box
434,depend,the size,the website share
434,add,ons,the browser share browsing history
434,browse,cache,cooky
434,delete,one set,history search box
434,browse,user chosen search provider,favourite window video buffering speed
434,tripple,youtube and google video loading text,what part
435,security,high strength web encryption,the website
435,encrypt,don t,your login or credit card info
435,type,highly secure parenting control web site blocker,not even the brainiest kid
435,breakthrough,the encrypted password,the blocked website private browsing tab nothing
435,save,your browsing parenting control web site blocker,a private browsing tab phishing filter
435,block,suspected fraudulent web site,you don t
435,run,the risk,NA
436,doe,a tab,no reason
436,doe,the whole program,t
436,close,only that particular tab,the tab
436,lock,the browser,how many other program
436,run,any amount,tab
437,multi,browsing surf,multiple browser
437,browse,each window,a browser
437,overfloode,more rendering space,NA
438,base,window xp security feature control,the security report window
438,view,your security,NA
439,restore,application crash,plug
440,search,multiple selectable  engine,NA
442,side, browsing tabbed mdi interface,NA
443,support,different kind,NA
444,news,feed reader,r rdf and atom format
444,bookmarke,news feed and export bookmark folder,a r file
444,configure,a news feed,a mouse
445,access,window medium player library,window medium file
445,play,playlist side,side export
446,searchable,bookmark archive extract,active window export
446,bookmark,the whole archive,a single bookmark folder
447,snapshot,window layout session,the layout
447,snapshot,window layout file,the desktop
448,change,your button  size,the text
449,change,the background color,NA
450,use,the quick link,NA
451,move,your mouse,the toolbar
452,type,a word,the website
454,improve,idle time,screen saver
455,shortcut,nearly everything,NA
456,include,itunes,remote text editor
457,save,one instance,NA
459,enable,child,approved site
460,lead,site,the child
461,design,young kid,the child
461,use,doesn t,order
461,use,no parent assistance,NA
462,explore,an endless amount,game video
462,explore,other content,the best kid site
463,slim,netbooks,NA
465,online,your favorite content,maxthon online favorite service
465,protect,your privacy,a shared computer
466,browse,all the web page,a tab
466,arrange,main window,your navigation
467,type,the keywords,address bar
467,perform,a search,a keyword
467,drop,your mouse,NA
468,clean,the web page,popup window
468,remove,ad content block,NA
469,customizable,plugins,skin filter pack multi language
470,google,search,address bar
471,click,the pencil,the address bar
472,s,o many trick,dual window
473,use,hotkey,window proportion
474,open,tab no matter folder tab,web page
475,move,window,NA
476,drop,subfolders,the tab bar
477,set,related folder,web page
477,set,a a group,file
478,config,any tab,a auto
478,refresh,preferable frequency,NA
479,make,good use,dual window mode
479,open,folder favorite,group
479,open,the left or right window,NA
480,include,some tab,NA
481,backup,file previewer,the content
481,backup,file,NA
482,float,the best flexibility,NA
483,detect,folder tab,web page
483,display,corresponding function key bar,NA
484,switch,file search toolbar,web search toolbar
485,include,english traditional chinese,chinese spanish french german italian
486,configure,the ui language,any other available language
487,include,three part,my computer group
487,include,last unclosed tab,a link list
487,contain,each link,a shortcut
488,handle,non english file name,thus file exchange
489,extract,compressed file,zip rar or jar format
490,base,dual window mode moving file or copying file,the easiest job
490,use,hotkey file,window
490,copy,a blink,NA
491,open,folder,floating button bar
491,float,type column,NA
492,offer,another access,a file content
493,move,an icon,image file
493,show,a floating auto size window,a large number
494,add,a new search engine,engine list
494,search,a  job,search engine
494,activate,the same time,NA
495,open,a link,a web page
495,drop,the window,NA
496,e,any wb pag,a friend
