                                                                                                                   New Requirements  Similarity Scores
121                                       System shall provide the user with the ability to run deep system an isolated environment           0.039587
239                                            System shall provide the user with the ability to escan silent mode the server admin           0.039607
63             System shall provide the user with the ability to choose browser cleanup feature all inbound and outbound connection           0.039638
73               System shall provide the user with the ability to hold browser cleanup feature all inbound and outbound connection           0.039810
131                                      System shall provide the user with the ability to ensure all kind unauthorized application           0.039811
182           System shall provide the user with the ability to integrated sysinspector both incoming and outgoing network activity           0.039823
80                                             System shall provide the user with the ability to make rescanning file vulnerability           0.039865
128                                               System shall provide the user with the ability to detect any attempt nasty threat           0.039958
21           System shall provide the user with the ability to protect your online banking activity intentional modification damage           0.039975
101                        System shall provide the user with the ability to avast quarantine capability an easy and automatic mean           0.040246
34                                         System shall provide the user with the ability to take smart defender detects your child           0.040255
99                                   System shall provide the user with the ability to avast browser cleanup feature suspected file           0.040292
120                                                          System shall provide the user with the ability to run deep system hand           0.040321
242                 System shall provide the user with the ability to allow silent mode both incoming and outgoing network activity           0.040350
79                                         System shall provide the user with the ability to make buffer overflow the previous scan           0.040449
105                        System shall provide the user with the ability to escan quarantine capability an easy and automatic mean           0.040569
49                                                System shall provide the user with the ability to secure list suspicious software           0.040613
261                                                     System shall provide the user with the ability to rise remote support virus           0.040703
124                                 System shall provide the user with the ability to advace the art protection molecule technology           0.040731
35                    System shall provide the user with the ability to take smart defender detects your most valuable digital file           0.040759
60                                        System shall provide the user with the ability to remove a combination your wi fi network           0.040814
178                System shall provide the user with the ability to escan sysinspector both incoming and outgoing network activity           0.040826
238                 System shall provide the user with the ability to escan silent mode both incoming and outgoing network activity           0.040876
245                                 System shall provide the user with the ability to allow built firewall monitor the server admin           0.040888
1                                           System shall provide the user with the ability to protect personalized update a network           0.040912
30                                     System shall provide the user with the ability to advanced smart defender detects your child           0.040976
171                                    System shall provide the user with the ability to eset professional computer user technology           0.040996
191                                                  System shall provide the user with the ability to shop antivirus task security           0.041010
212                                       System shall provide the user with the ability to bitdefender the management console work           0.041061
130                                                      System shall provide the user with the ability to ensure all kind all time           0.041096
112                                                       System shall provide the user with the ability to phone unknown file hand           0.041224
135                                     System shall provide the user with the ability to protect all kind unauthorized application           0.041229
47                                               System shall provide the user with the ability to secure speed suspicious software           0.041233
12                             System shall provide the user with the ability to firewall language blocker detects your transaction           0.041263
219                            System shall provide the user with the ability to access internet security detects a remote location           0.041308
103                                           System shall provide the user with the ability to escan server edition suspected file           0.041348
116                                                          System shall provide the user with the ability to do unknown file hand           0.041349
31                System shall provide the user with the ability to advanced smart defender detects your most valuable digital file           0.041384
265                                                 System shall provide the user with the ability to flexible remote support virus           0.041389
123                                                      System shall provide the user with the ability to remove don t the history           0.041395
27                          System shall provide the user with the ability to anvi parental control your most valuable digital file           0.041413
190                                          System shall provide the user with the ability to shop antivirus task your transaction           0.041579
195                                              System shall provide the user with the ability to powerful antivirus task security           0.041604
0                                            System shall provide the user with the ability to free unauthorized access the meaning           0.041662
207                                                 System shall provide the user with the ability to stop registry autorun malware           0.041693
145                                                System shall provide the user with the ability to find advanced antivirus access           0.041777
144                                                System shall provide the user with the ability to find advanced antivirus access           0.041777
95                                                 System shall provide the user with the ability to pop the protection gap restart           0.041784
148                                             System shall provide the user with the ability to combine your search result access           0.041883
201                                                         System shall provide the user with the ability to check all type device           0.042017
147                       System shall provide the user with the ability to combine personal data parameter anti spyware technology           0.042103
167                                       System shall provide the user with the ability to s professional computer user technology           0.042107
194                                      System shall provide the user with the ability to powerful antivirus task your transaction           0.042124
53                                                     System shall provide the user with the ability to include malware technology           0.042127
241        System shall provide the user with the ability to escan remote configuration both incoming and outgoing network activity           0.042129
165                                System shall provide the user with the ability to provide smart security all your cyber security           0.042159
125                                         System shall provide the user with the ability to state virus database the world leader           0.042369
15                                         System shall provide the user with the ability to s malware infection fraudulent website           0.042426
43                                              System shall provide the user with the ability to process speed suspicious software           0.042454
134                                                     System shall provide the user with the ability to protect all kind all time           0.042505
8                 System shall provide the user with the ability to expand an essential antivirus security feature your transaction           0.042517
126                                       System shall provide the user with the ability to detect complete protection nasty threat           0.042637
65                                  System shall provide the user with the ability to choose information an easy and automatic mean           0.042656
25                                   System shall provide the user with the ability to protect malware infection fraudulent website           0.042698
208                                                           System shall provide the user with the ability to stop your data hklm           0.042738
52                                             System shall provide the user with the ability to include malware your wi fi network           0.042745
77                                         System shall provide the user with the ability to guard rescanning file the intelligence           0.042802
156                                               System shall provide the user with the ability to rid security your search result           0.042840
37                          System shall provide the user with the ability to take parental control your most valuable digital file           0.042896
136                                      System shall provide the user with the ability to protect complete protection nasty threat           0.042913
94                                     System shall provide the user with the ability to pop the protection gap notification object           0.043004
62                                    System shall provide the user with the ability to choose browser cleanup feature the software           0.043006
215                              System shall provide the user with the ability to anti internet security detects a remote location           0.043012
102                               System shall provide the user with the ability to escan server edition an easy and automatic mean           0.043021
11                                    System shall provide the user with the ability to firewall a unique dedicated browser your pc           0.043078
71                          System shall provide the user with the ability to hold the language all inbound and outbound connection           0.043191
72                                      System shall provide the user with the ability to hold browser cleanup feature the software           0.043200
152                                             System shall provide the user with the ability to color security your search result           0.043261
133                                                   System shall provide the user with the ability to ensure any attempt all time           0.043333
91                                             System shall provide the user with the ability to support the protection gap restart           0.043351
81                                          System shall provide the user with the ability to make rescanning file the intelligence           0.043386
198                                                          System shall provide the user with the ability to check your data hklm           0.043419
3                                           System shall provide the user with the ability to shop language blocker detects your pc           0.043453
246                   System shall provide the user with the ability to bitdefender an essential antivirus security feature detects           0.043457
256                       System shall provide the user with the ability to prevent an essential antivirus security feature detects           0.043629
143                          System shall provide the user with the ability to find personal data parameter anti spyware technology           0.043684
216                                              System shall provide the user with the ability to anti the management console work           0.043782
213                            System shall provide the user with the ability to bitdefender the management console the mail client           0.043904
85                                                    System shall provide the user with the ability to avoid use the previous scan           0.044030
108                                      System shall provide the user with the ability to file browser cleanup feature all edition           0.044037
109                                   System shall provide the user with the ability to file browser cleanup feature suspected file           0.044098
4                   System shall provide the user with the ability to shop an essential antivirus security feature your transaction           0.044110
29                                                     System shall provide the user with the ability to anvi the hassle your child           0.044123
248                             System shall provide the user with the ability to bitdefender your confidential information detects           0.044136
127                           System shall provide the user with the ability to detect complete protection unauthorized application           0.044153
69                                   System shall provide the user with the ability to escan information an easy and automatic mean           0.044311
262                                                 System shall provide the user with the ability to flexible cloud security virus           0.044313
177                    System shall provide the user with the ability to eset antivirus both incoming and outgoing network activity           0.044358
137                          System shall provide the user with the ability to protect complete protection unauthorized application           0.044439
67                         System shall provide the user with the ability to escan the language all inbound and outbound connection           0.044457
90                                 System shall provide the user with the ability to support the protection gap notification object           0.044546
129                                                   System shall provide the user with the ability to detect any attempt all time           0.044595
252                                System shall provide the user with the ability to firewall your confidential information detects           0.044602
70                                   System shall provide the user with the ability to hold the language an easy and automatic mean           0.044739
107                                            System shall provide the user with the ability to file server edition suspected file           0.044941
181                   System shall provide the user with the ability to escan antivirus both incoming and outgoing network activity           0.044944
75                                                    System shall provide the user with the ability to guard use the previous scan           0.045150
259                                                            System shall provide the user with the ability to rise time the help           0.045228
64                                                System shall provide the user with the ability to choose information the software           0.045460
13                                      System shall provide the user with the ability to firewall language blocker detects your pc           0.045598
255                                           System shall provide the user with the ability to prevent antivirus malicious program           0.045820
263                                              System shall provide the user with the ability to flexible cloud security the help           0.045919
66                                  System shall provide the user with the ability to escan the language an easy and automatic mean           0.046094
251                                          System shall provide the user with the ability to firewall antivirus malicious program           0.046126
247         System shall provide the user with the ability to bitdefender an essential antivirus security feature malicious program           0.046319
217                                   System shall provide the user with the ability to anti the management console the mail client           0.046324
56                                             System shall provide the user with the ability to control malware your wi fi network           0.046348
257             System shall provide the user with the ability to prevent an essential antivirus security feature malicious program           0.046490
266                                                    System shall provide the user with the ability to escan cloud security virus           0.046509
57                                                     System shall provide the user with the ability to control malware technology           0.046685
33                                                 System shall provide the user with the ability to advanced the hassle your child           0.046759
149                            System shall provide the user with the ability to combine your search result anti spyware technology           0.047092
170                       System shall provide the user with the ability to eset professional computer user all your cyber security           0.047205
106                                System shall provide the user with the ability to file server edition an easy and automatic mean           0.047535
68                                                 System shall provide the user with the ability to escan information the software           0.047537
169                                      System shall provide the user with the ability to s smart security all your cyber security           0.047622
141                                                System shall provide the user with the ability to file advanced antivirus access           0.047632
140                                                System shall provide the user with the ability to file advanced antivirus access           0.047632
267                                                 System shall provide the user with the ability to escan cloud security the help           0.047955
114                        System shall provide the user with the ability to do chat agent running process registry and file system           0.047962
269                                                           System shall provide the user with the ability to escan time the help           0.048172
166                          System shall provide the user with the ability to s professional computer user all your cyber security           0.048382
218                              System shall provide the user with the ability to access internet security detects the mail client           0.048452
122                         System shall provide the user with the ability to need browsing and search history your system resource           0.048653
138                                                System shall provide the user with the ability to file your search result access           0.049261
118                       System shall provide the user with the ability to run chat agent running process registry and file system           0.049687
214                                System shall provide the user with the ability to anti internet security detects the mail client           0.050170
249                             System shall provide the user with the ability to bitdefender your confidential information your pc           0.050299
254                                                     System shall provide the user with the ability to prevent antivirus your pc           0.050345
26              System shall provide the user with the ability to anvi parental control the latest and most malicious threat attack           0.050428
209                                                        System shall provide the user with the ability to stop your data malware           0.050433
250                                                    System shall provide the user with the ability to firewall antivirus your pc           0.050665
253                                System shall provide the user with the ability to firewall your confidential information your pc           0.050769
199                                                       System shall provide the user with the ability to check your data malware           0.051268
24                              System shall provide the user with the ability to protect malware infection all your cyber security           0.052066
36              System shall provide the user with the ability to take parental control the latest and most malicious threat attack           0.052073
14                                    System shall provide the user with the ability to s malware infection all your cyber security           0.052163
28                    System shall provide the user with the ability to anvi the hassle the latest and most malicious threat attack           0.052443
16                         System shall provide the user with the ability to s your online banking activity all your cyber security           0.053071
20                   System shall provide the user with the ability to protect your online banking activity all your cyber security           0.053090
139                               System shall provide the user with the ability to file your search result anti spyware technology           0.054265
32                System shall provide the user with the ability to advanced the hassle the latest and most malicious threat attack           0.054767
113                   System shall provide the user with the ability to phone unknown file running process registry and file system           0.056320
117                      System shall provide the user with the ability to do unknown file running process registry and file system           0.056497
